#{"t_start": 1698878488.844074, "env_id": "Pendulum-v1"}
r,l,t
-256.627353,200,51.254983
-1.055372,200,51.879351
-133.527679,200,51.991774
-133.890102,200,52.106175
-274.224203,200,52.2182
-131.05936,200,52.330657
-278.013578,200,52.955464
-928.841966,200,53.067898
-134.85576,200,53.17995
-391.779269,200,53.292339
-138.330425,200,53.404827
-298.347282,200,54.029502
-128.375296,200,54.144156
-4.561024,200,54.256587
-391.532399,200,54.369897
-264.001164,200,54.482842
-135.326317,200,54.595484
-132.092311,200,55.222201
-131.255985,200,55.334755
-244.579889,200,55.447298
-131.390301,200,55.559781
-139.133652,200,55.672001
-378.170779,200,56.30653
-127.029583,200,56.418661
-133.141925,200,56.530608
-257.922607,200,56.642636
-254.679189,200,56.754369
-134.855812,200,57.378683
-264.983305,200,57.490862
-273.722151,200,57.602832
-832.979525,200,57.714717
-131.699842,200,57.828965
-138.763326,200,58.452487
-523.370076,200,58.564392
-656.128437,200,58.6765
-129.72448,200,58.788529
-247.216491,200,58.90048
-123.240117,200,59.525543
-120.36234,200,59.6377
-125.850864,200,59.750404
-250.867082,200,59.862397
-131.27339,200,59.976816
-131.545961,200,60.602703
-2.874859,200,60.714836
-2.206192,200,60.826997
-128.695277,200,60.938987
-917.385797,200,61.051095
-1033.261251,200,61.674438
-132.490218,200,61.786348
-988.854076,200,61.89831
-117.868822,200,62.010463
-268.564067,200,62.124705
-262.420114,200,62.749676
-4.049838,200,62.862012
-129.532586,200,62.974077
-2.362969,200,63.086224
-256.470077,200,63.198337
-508.862378,200,63.821626
-131.521042,200,63.933811
-392.508827,200,64.04614
-257.921147,200,64.158158
-2.306546,200,64.270169
-137.390892,200,64.385219
-250.644145,200,65.013138
-125.284175,200,65.126071
-134.853642,200,65.238909
-240.307096,200,65.351865
-311.485534,200,65.464394
-130.979923,200,66.091319
-3.370693,200,66.20459
-361.816432,200,66.319691
-128.938638,200,66.432445
-3.916057,200,66.545477
-129.009615,200,67.172857
-400.275989,200,67.28583
-124.443148,200,67.398755
-128.181144,200,67.511427
-131.821179,200,67.624431
-133.317735,200,68.257095
-385.976946,200,68.370455
-127.291912,200,68.483472
-1.262509,200,68.59663
-126.545505,200,68.709698
-129.824064,200,69.337875
-1.55909,200,69.451833
-262.477525,200,69.564659
-255.999897,200,69.678094
-372.484072,200,69.793559
-124.694707,200,70.421407
-396.071691,200,70.534417
-383.654456,200,70.647744
-441.838963,200,70.760781
-399.906724,200,70.873763
-375.042659,200,71.502156
-258.534751,200,71.615481
-130.696145,200,71.730981
-130.556738,200,71.844145
-253.857895,200,71.957561
-260.535136,200,72.587389
-133.287637,200,72.700585
-257.482833,200,72.813867
-262.140219,200,72.927152
-1.318842,200,73.039952
-518.469027,200,73.152998
