#{"t_start": 1698683506.2044702, "env_id": "CarRacing-v2"}
r,l,t
92.05298,1000,1141.362088
30.790191,1000,1153.667073
-48.95035,994,1165.201545
300.651466,1000,1177.086367
90.47619,1000,1188.861954
318.699187,1000,1200.04049
4.392562,486,1205.464991
32.616487,1000,1217.204891
251.535836,1000,1228.946603
171.186441,1000,1240.779013
222.683706,1000,1252.795668
423.636364,1000,1264.406016
162.548263,1000,1275.808779
67.785235,1000,1286.850702
60.583942,1000,1298.306783
190.441176,1000,1309.745415
-32.646847,859,1319.872355
132.97491,1000,1331.51345
-132.684848,843,1341.195216
330.604982,1000,1352.849049
169.480519,1000,1364.801143
252.739726,1000,1376.590819
49.466192,1000,1387.774425
328.082192,1000,1399.616575
-19.402985,1000,1411.263099
72.413793,1000,1422.665528
-0.321543,1000,1433.931853
232.236842,1000,1445.908152
286.363636,1000,1457.688191
144.147157,1000,1469.513528
301.253918,1000,1481.499359
298.523985,1000,1492.996332
259.872611,1000,1504.94734
379.83871,1000,1516.568027
374.193548,1000,1528.421538
453.691275,1000,1540.204956
534.751773,1000,1552.108926
431.034483,1000,1563.78006
466.343042,1000,1575.831015
469.395018,1000,1587.792357
340.677966,1000,1599.48312
490.163934,1000,1611.416209
216.546763,1000,1623.032066
245.16129,1000,1634.646668
570.068027,1000,1646.478694
290.410959,1000,1658.296152
110.224601,870,1668.616982
430.46595,1000,1680.310598
490.106007,1000,1692.022587
278.378378,1000,1703.810975
554.48505,1000,1715.808459
446.925566,1000,1727.659245
306.557377,1000,1739.314892
235.463259,1000,1751.281939
423.809524,1000,1763.399646
216.923077,1000,1775.362784
472.390572,1000,1787.213766
445.454545,1000,1798.64862
265.695793,1000,1810.289881
107.407407,1000,1821.447334
186.821705,1000,1833.090749
721.167883,1000,1844.680708
543.382353,1000,1856.278574
504.026846,1000,1868.247718
592.028986,1000,1879.84675
403.623188,1000,1891.712937
298.671096,1000,1903.637419
63.293706,431,1908.738323
395.016611,1000,1920.75937
338.943894,1000,1932.562799
-17.134364,272,1935.544536
400.0,1000,1947.130805
556.603774,1000,1958.705671
241.549296,1000,1970.475931
452.631579,1000,1982.718271
298.089172,1000,1994.445524
188.321168,1000,2005.4861
365.57377,1000,2017.44024
409.55414,1000,2029.380576
185.714286,1000,2041.299694
414.950166,1000,2053.025748
565.480427,1000,2064.699838
123.856401,496,2070.423207
220.132013,1000,2082.153358
98.170732,1000,2094.093336
128.873239,1000,2105.130553
523.239437,1000,2116.777756
235.548173,1000,2128.442524
213.069909,1000,2140.646711
229.896907,1000,2152.477186
220.46332,1000,2163.997696
472.438163,1000,2175.635958
217.460317,1000,2187.991151
189.230769,1000,2199.536352
219.884726,1000,2211.994852
311.067194,1000,2223.829888
110.909091,1000,2235.649972
176.923077,1000,2247.032739
350.171821,1000,2258.914057
134.432234,1000,2270.490986
170.175439,1000,2281.822748
264.864865,1000,2293.641906
252.941176,1000,2305.249539
238.181818,1000,2316.654165
605.394191,1000,2328.211589
329.042904,1000,2339.97653
191.366906,1000,2351.450237
193.918919,1000,2363.237148
442.253521,1000,2374.893018
596.774194,1000,2386.670959
446.125461,1000,2397.910692
587.296417,1000,2409.912694
651.70068,1000,2421.410459
580.781759,1000,2433.196875
808.088235,1000,2444.873731
825.081433,1000,2456.782563
478.461538,1000,2468.69936
838.181818,1000,2480.307478
850.0,1000,2491.890365
671.535581,1000,2503.414072
537.288136,1000,2515.024043
590.721649,1000,2526.532228
848.717949,1000,2538.131726
820.152091,1000,2549.678483
573.846154,1000,2561.551446
605.882353,1000,2573.376437
517.210682,1000,2585.417486
859.677419,1000,2596.665916
643.975904,1000,2608.651583
750.533808,1000,2620.345153
449.839228,1000,2632.227956
862.264151,1000,2643.78055
728.947368,1000,2655.4052
668.965517,1000,2667.026451
352.961672,1000,2678.532401
850.191571,1000,2690.216439
771.886121,1000,2701.832678
674.834437,1000,2713.60613
330.508475,1000,2725.323793
589.419795,1000,2737.107146
537.735849,1000,2748.543486
524.031008,1000,2759.767037
235.664336,1000,2771.237745
594.545455,1000,2783.018015
477.380952,1000,2795.080057
558.362989,1000,2806.685461
759.106529,1000,2818.374634
823.076923,1000,2830.050714
412.027491,1000,2841.818018
805.723906,1000,2853.562935
822.261484,1000,2865.182322
686.290323,1000,2876.617153
463.636364,1000,2888.195374
764.864865,1000,2899.938357
874.025974,1000,2911.271255
493.856655,1000,2922.604208
521.527778,1000,2934.184366
610.526316,1000,2945.912554
408.960573,1000,2957.294074
17.2,429,2962.331189
624.832215,1000,2974.092057
560.305344,1000,2985.481388
322.492401,1000,2997.610261
654.32526,1000,3009.3798
224.041812,1000,3020.734674
863.235294,1000,3032.295271
284.366667,924,3043.289449
841.908714,1000,3054.816391
486.419753,1000,3066.6829
749.673203,1000,3078.538853
343.758362,717,3086.682659
726.714801,1000,3098.368217
292.857143,1000,3110.018585
468.265683,1000,3121.534035
506.25,1000,3133.733119
211.334708,977,3145.344449
261.351799,740,3153.793443
44.164748,250,3156.840076
483.050847,1000,3168.739605
272.54902,1000,3180.458424
249.152542,1000,3191.865519
540.926641,1000,3203.317477
63.5,616,3210.686334
869.924812,1000,3222.22367
498.513011,1000,3233.827119
834.482759,1000,3245.199691
856.228956,1000,3256.997508
535.135135,1000,3268.698018
488.447653,1000,3280.347423
542.633229,1000,3292.344568
485.454545,1000,3303.954978
577.710843,1000,3315.861048
391.909385,1000,3327.651137
746.153846,1000,3339.30644
750.746269,1000,3350.84592
435.836177,1000,3362.512417
263.076923,1000,3374.275474
327.609428,1000,3386.011327
820.415225,1000,3397.582003
886.062718,1000,3409.322468
154.093252,957,3420.636193
177.955272,1000,3432.569707
636.0,1000,3443.808671
524.161074,1000,3455.741491
183.745509,936,3466.594039
563.430421,1000,3478.728404
230.275229,1000,3490.457563
315.584416,1000,3502.401543
382.539683,1000,3514.090316
347.811448,1000,3525.943712
431.468531,1000,3537.340192
474.626866,1000,3548.88115
297.545455,971,3560.139251
579.867987,1000,3571.96541
559.649123,1000,3583.766336
570.212766,1000,3595.166091
617.791411,1000,3607.212158
508.552632,1000,3619.144945
569.811321,1000,3630.874871
408.417508,1000,3642.531275
763.481229,1000,3654.384455
431.531532,1000,3666.423557
230.0,1000,3677.3421
750.220264,1000,3688.571615
787.640449,1000,3699.950134
281.756757,1000,3711.222833
606.25,1000,3723.159819
418.382353,1000,3734.586797
720.846906,1000,3746.392674
133.438486,1000,3758.296654
542.335766,1000,3769.835452
860.854093,1000,3781.419485
572.597865,1000,3792.906819
302.255639,1000,3804.322431
685.714286,1000,3815.948323
390.25974,1000,3827.713908
330.107527,1000,3838.950136
340.740741,1000,3850.29307
216.831683,1000,3861.705589
631.884058,1000,3873.480392
2.051301,579,3880.080899
748.993289,1000,3891.906314
695.454545,1000,3903.368252
827.083333,1000,3915.145592
736.601307,1000,3927.109795
633.333333,1000,3938.856444
606.270627,1000,3950.596941
853.125,1000,3961.83997
497.173145,1000,3973.35042
767.132867,1000,3985.129724
653.894081,1000,3997.292504
615.277778,1000,4009.027304
790.282132,1000,4020.838648
730.0,1000,4032.709692
753.174603,1000,4044.340464
780.28169,1000,4055.940154
-43.375451,951,4066.560442
847.183099,1000,4078.198685
893.265993,1000,4089.865764
346.864979,891,4099.754064
593.290735,1000,4111.494517
801.408451,1000,4122.98156
919.1,809,4132.096271
383.076923,1000,4143.731421
760.714286,1000,4155.326638
250.641584,653,4162.757561
880.988593,1000,4174.155031
215.95092,1000,4186.100271
861.538462,1000,4197.546624
878.494624,1000,4209.108498
539.61039,1000,4220.966141
490.57971,1000,4232.383458
880.15873,1000,4243.770163
376.039535,822,4253.487815
821.052632,1000,4265.256036
810.714286,1000,4276.622244
813.669065,1000,4288.283839
462.289562,1000,4300.092685
839.285714,1000,4311.642684
805.797101,1000,4323.451211
749.502092,711,4331.814087
694.573643,1000,4343.35129
312.304797,675,4350.877729
841.176471,1000,4362.449646
356.026059,1000,4373.997634
133.219876,557,4380.524958
32.783942,279,4383.561544
701.324503,1000,4395.440255
-27.155102,395,4400.003767
511.285266,1000,4412.009667
282.808869,546,4418.344649
342.95302,1000,4429.836271
401.639344,1000,4441.769686
559.863946,1000,4453.486452
296.110345,833,4463.101166
18.515789,329,4466.755087
745.864662,1000,4478.437135
143.755587,658,4486.700422
312.231502,897,4496.744037
326.62116,1000,4508.085919
336.893204,1000,4520.066184
359.854015,1000,4531.485142
514.864865,1000,4543.270456
-1.272185,272,4546.645385
807.749077,1000,4558.230622
438.461538,1000,4569.979236
694.223827,1000,4581.655833
428.571429,1000,4593.072892
468.965517,1000,4604.570408
454.006969,1000,4616.305465
771.972318,1000,4627.949242
503.278689,1000,4639.725816
673.584906,1000,4651.646823
347.183099,1000,4662.637523
350.310559,1000,4674.329555
244.444444,1000,4685.527299
371.186441,1000,4696.707946
513.793103,1000,4708.299167
170.827891,490,4713.887258
-14.459364,241,4716.47233
693.706294,1000,4728.030791
227.885246,591,4735.011799
326.174497,1000,4746.367848
459.566787,1000,4757.191947
798.4375,1000,4768.60433
870.479705,1000,4779.936389
437.483849,743,4788.653692
557.439446,1000,4800.056554
893.311037,1000,4811.606991
222.084967,571,4818.11391
892.982456,1000,4829.68599
442.662116,1000,4841.265091
680.068729,1000,4852.720289
252.941176,1000,4864.368045
572.413793,1000,4875.97979
867.509025,1000,4887.397212
875.265018,1000,4898.854537
810.891089,1000,4910.204712
-20.473356,313,4913.955357
678.145695,1000,4925.743153
835.606061,1000,4937.140351
440.880503,1000,4948.961279
804.958678,1000,4960.322199
806.148867,1000,4972.095276
679.661017,1000,4983.74324
729.581994,1000,4995.321125
822.44898,1000,5006.592519
879.020979,1000,5018.169202
858.477509,1000,5029.64124
738.283828,1000,5041.210834
812.052117,1000,5052.98168
11.279859,867,5062.490432
855.390335,1000,5074.03287
780.866426,1000,5085.570667
863.898917,1000,5097.101278
845.945946,1000,5108.74246
784.10596,1000,5120.507694
753.333333,1000,5132.253138
869.465649,1000,5143.652291
837.931034,1000,5155.235077
678.135048,1000,5166.86233
679.166667,1000,5178.133017
844.078947,1000,5189.857982
513.559322,1000,5201.675064
-15.912821,955,5212.566887
797.959184,1000,5223.81136
258.490566,1000,5235.670043
679.552716,1000,5247.425077
634.567901,1000,5259.287809
509.929078,1000,5270.978889
545.27027,1000,5282.606463
679.264214,1000,5294.341732
823.875433,1000,5305.948616
771.080139,1000,5317.581434
578.678679,1000,5329.742247
341.595442,1000,5341.711239
838.566553,1000,5353.278512
840.789474,1000,5365.129443
522.44898,1000,5376.753374
558.62069,1000,5388.343773
629.299363,1000,5400.250665
497.597598,1000,5412.279279
858.333333,1000,5423.571601
693.75,1000,5435.420898
795.973154,1000,5447.189689
925.7,743,5455.397252
700.632911,1000,5467.291126
450.33557,1000,5479.137385
829.032258,1000,5491.035435
795.27027,1000,5502.800324
305.063291,1000,5514.431066
777.076412,1000,5526.095464
825.696594,1000,5538.148764
916.9,831,5547.664207
932.7,673,5555.403507
911.3,887,5565.224843
398.349835,1000,5576.823266
366.666667,1000,5588.53801
481.469649,1000,5600.273826
451.724138,1000,5612.126973
879.166667,1000,5623.941133
275.886525,1000,5635.221897
320.338983,1000,5646.89591
619.594595,1000,5658.832852
355.782313,1000,5670.349521
880.46875,1000,5681.9056
592.556634,1000,5693.812205
819.413919,1000,5705.348994
452.715655,1000,5716.971182
9.433803,963,5728.675925
507.476636,1000,5740.725851
752.631579,1000,5752.484433
500.706714,1000,5763.996235
466.539924,1000,5774.979938
812.891986,1000,5786.571972
435.211268,1000,5798.154176
611.743772,1000,5809.68408
229.545455,1000,5820.913328
517.283951,1000,5833.088173
565.562914,1000,5844.948403
506.498195,1000,5856.543213
504.895105,1000,5868.312151
400.0,1000,5879.988518
757.615894,1000,5891.813994
815.750916,1000,5903.326156
775.0,1000,5914.97329
677.777778,1000,5926.712964
814.285714,1000,5938.244264
509.589041,1000,5949.993944
782.716049,1000,5961.976991
807.216495,1000,5973.636276
755.123675,1000,5985.187664
810.11236,1000,5996.878337
596.969697,1000,6007.990831
405.263158,1000,6019.347266
867.509025,1000,6030.881378
744.370861,1000,6042.906339
470.977918,1000,6054.69868
784.210526,1000,6066.342244
559.649123,1000,6078.087941
362.897527,1000,6089.36939
314.556962,1000,6101.215596
566.666667,1000,6113.404283
592.307692,1000,6125.168256
51.202749,1000,6136.341424
312.811388,1000,6147.915819
608.812261,1000,6159.252215
883.221477,1000,6171.147487
53.844444,407,6175.898315
446.583851,1000,6187.927943
878.658537,1000,6200.247203
762.745098,1000,6211.635272
664.258555,1000,6222.965037
849.152542,1000,6234.762025
705.732484,1000,6246.729078
877.491961,1000,6258.56337
784.210526,1000,6270.361317
141.369536,733,6279.118126
506.451613,1000,6290.811702
675.974026,1000,6302.612
413.422819,1000,6314.299459
869.283276,1000,6326.034872
835.483871,1000,6337.104506
702.588997,1000,6348.824344
701.886792,1000,6360.609012
791.089109,1000,6372.338147
866.329966,1000,6384.022038
896.478873,1000,6395.428174
878.647687,1000,6407.038953
464.814815,1000,6419.09814
559.93266,1000,6430.928981
890.47619,1000,6442.731739
850.207469,1000,6453.969634
703.333333,1000,6465.813425
390.70632,1000,6477.144693
912.8,872,6487.28557
838.511327,1000,6499.155086
910.2,898,6509.092085
18.210863,1000,6520.389469
617.770035,1000,6532.0735
384.848485,1000,6544.128717
627.941176,1000,6555.643788
836.708861,1000,6567.53065
838.405797,1000,6579.1525
918.1,819,6588.610584
816.34981,1000,6600.260186
852.0,1000,6611.594531
622.044728,1000,6623.546489
836.507937,1000,6635.070838
870.394737,1000,6646.918406
782.736156,1000,6658.656683
531.034483,1000,6670.380065
321.348315,1000,6682.485308
858.955224,1000,6693.93477
828.825623,1000,6705.59534
779.62963,1000,6717.506855
786.120996,1000,6729.036907
841.935484,1000,6740.878556
333.154237,822,6750.623606
926.0,740,6758.8188
395.145631,1000,6770.438316
816.666667,1000,6781.953896
657.785467,1000,6793.415849
537.992832,1000,6804.727297
713.559322,1000,6816.449265
621.682848,1000,6828.28785
885.347985,1000,6839.91097
672.435897,1000,6851.697723
879.79798,1000,6863.432685
860.526316,1000,6875.28746
833.797909,1000,6886.839344
884.962406,1000,6898.342947
889.051095,1000,6909.598348
29.011003,685,6917.90642
562.020906,1000,6929.62421
457.228916,1000,6941.603352
871.119134,1000,6953.146464
863.768116,1000,6964.741732
860.573477,1000,6976.343732
885.714286,1000,6987.964237
842.122186,1000,6999.498461
830.232558,1000,7011.249946
922.9,771,7020.388055
375.862069,1000,7031.794456
869.178082,1000,7043.369068
864.285714,1000,7055.129692
841.780822,1000,7066.887785
-4.384848,560,7073.268078
464.285714,1000,7084.630007
515.131579,1000,7096.346467
865.909091,1000,7107.883221
829.530201,1000,7119.504665
515.120275,1000,7131.090635
660.35503,1000,7143.214344
368.864469,1000,7154.591705
786.120996,1000,7165.913913
867.509025,1000,7177.391132
892.094862,1000,7188.749378
408.241758,1000,7200.997746
889.323843,1000,7212.592728
765.814696,1000,7224.685684
639.361702,1000,7237.215526
867.105263,1000,7249.013676
881.617647,1000,7260.533551
859.866221,1000,7272.40081
850.657895,1000,7284.099437
886.440678,1000,7295.79961
915.5,845,7305.752055
487.662338,1000,7317.647107
781.118881,1000,7329.287307
762.815884,1000,7340.512913
692.0,1000,7351.658744
319.928826,1000,7362.907338
814.179104,1000,7374.324882
172.44582,1000,7385.623533
711.258278,1000,7397.2693
785.185185,1000,7408.686512
67.235495,1000,7419.751138
547.058824,1000,7431.883921
504.651163,1000,7443.613853
418.394649,1000,7455.514015
869.924812,1000,7466.954411
836.090226,1000,7478.414444
205.841924,1000,7489.940133
783.495146,1000,7501.869952
756.25,1000,7513.741263
831.034483,1000,7525.697107
775.420875,1000,7537.393897
431.609195,1000,7549.531813
803.100775,1000,7560.951054
809.42029,1000,7572.434668
179.72028,1000,7583.643268
876.653696,1000,7595.208277
893.006993,1000,7606.705688
929.6,704,7614.810145
820.577617,1000,7626.430773
804.929577,1000,7638.020995
809.090909,1000,7649.955486
888.888889,1000,7661.561397
635.714286,1000,7673.418673
854.545455,1000,7684.894562
816.981132,1000,7696.606622
650.877193,1000,7708.254823
845.848375,1000,7719.824256
873.977695,1000,7731.234189
814.728682,1000,7742.592539
481.227437,1000,7754.174588
720.422535,1000,7765.886134
-10.827119,533,7771.799356
645.387454,1000,7783.153433
557.439446,1000,7794.840938
746.689895,1000,7806.585345
692.727273,1000,7817.98064
282.758621,1000,7829.327425
852.380952,1000,7840.730579
831.034483,1000,7852.202599
811.764706,1000,7863.842837
884.076433,1000,7875.700807
657.475083,1000,7887.45689
851.661631,1000,7899.513997
825.373134,1000,7911.182206
893.127148,1000,7922.775617
655.102041,1000,7934.460719
632.851986,1000,7946.000504
871.731449,1000,7957.27799
835.849057,1000,7968.892888
510.5919,1000,7980.844746
314.556962,1000,7992.560919
809.967846,1000,8004.427495
799.305556,1000,8016.146854
673.333333,1000,8027.86894
632.142857,1000,8040.021264
880.694981,1000,8051.404896
850.877193,1000,8063.129448
636.842105,1000,8075.137671
776.254181,1000,8086.919444
819.117647,1000,8098.525209
29.454545,561,8104.879044
881.684982,1000,8116.381907
837.28223,1000,8128.021812
867.032967,1000,8139.717431
903.6,964,8151.091235
896.774194,1000,8162.897729
829.104478,1000,8174.320231
880.0,1000,8185.977573
874.074074,1000,8197.406201
868.641115,1000,8208.659786
854.545455,1000,8220.624848
712.5,1000,8232.276231
541.509434,1000,8244.129947
854.372624,1000,8255.462658
805.844156,1000,8267.225361
221.192053,1000,8278.956941
818.918919,1000,8290.609281
607.936508,1000,8302.684266
228.244275,1000,8314.059464
836.170213,1000,8325.461836
852.861953,1000,8337.086544
578.899083,1000,8349.229966
706.853583,1000,8361.091545
92.429022,1000,8372.867018
815.492958,1000,8384.497788
801.023891,1000,8396.262854
892.907801,1000,8407.747308
477.160494,1000,8419.670608
863.69637,1000,8431.294414
629.813665,1000,8443.335274
523.655914,1000,8454.93399
772.909699,1000,8466.3736
810.344828,1000,8478.176948
7.406557,763,8487.137672
818.918919,1000,8498.841057
876.923077,1000,8510.200899
850.704225,1000,8521.797758
778.378378,1000,8533.629874
521.621622,1000,8545.022446
836.170213,1000,8556.736082
224.758842,1000,8568.522149
488.447653,1000,8580.178942
676.632302,1000,8591.308949
-15.706195,397,8596.099404
759.934853,1000,8608.023861
113.201434,593,8614.876512
808.127208,1000,8626.422815
661.904762,1000,8637.876832
796.797153,1000,8649.528721
801.818182,1000,8661.251708
46.341463,1000,8672.517975
724.137931,1000,8684.114506
844.636678,1000,8695.759129
294.736842,1000,8707.023129
831.506849,1000,8718.797255
787.218045,1000,8730.536911
635.483871,1000,8742.527083
892.779783,1000,8754.246036
216.455696,1000,8766.136374
846.488294,1000,8777.820415
903.1,969,8789.003742
850.0,1000,8800.543792
416.025641,1000,8812.335875
868.992248,1000,8823.369134
923.1,769,8832.399842
790.577508,1000,8844.37043
932.2,678,8852.029796
844.88189,1000,8863.631893
454.487179,1000,8875.532663
789.705882,1000,8887.253701
642.331288,1000,8899.248137
922.0,780,8908.475662
850.331126,1000,8920.355058
825.675676,1000,8931.716268
892.831541,1000,8943.394853
612.166172,1000,8955.46415
763.192182,1000,8967.384342
527.831715,1000,8979.267411
865.753425,1000,8990.979314
832.432432,1000,9002.554804
684.313725,1000,9014.419284
807.894737,1000,9026.218132
846.488294,1000,9038.025847
627.55418,1000,9049.960142
656.493506,1000,9061.676363
605.128205,1000,9073.469915
544.518272,1000,9085.327423
769.415808,1000,9097.047131
612.57485,1000,9109.310496
661.403509,1000,9120.996106
667.123288,1000,9132.903661
789.298893,1000,9144.354801
814.754098,1000,9156.205303
560.194175,1000,9168.032788
524.584718,1000,9179.683919
614.285714,1000,9191.119703
16.666667,1000,9202.406339
289.520261,779,9211.803861
294.824188,782,9220.641572
380.144404,1000,9232.060692
443.283582,1000,9244.194487
108.719626,811,9253.915575
656.653992,1000,9265.276637
594.805195,1000,9277.155097
761.209964,1000,9288.960327
156.719512,696,9297.040044
715.789474,1000,9308.352803
829.765886,1000,9319.972319
842.748092,1000,9331.588221
804.615385,1000,9343.716356
870.260223,1000,9355.164926
823.076923,1000,9366.968595
798.113208,1000,9378.560546
782.129278,1000,9390.075382
797.058824,1000,9401.574732
627.272727,1000,9413.087497
831.596091,1000,9424.804417
763.013699,1000,9436.434521
685.942492,1000,9448.345061
831.654676,1000,9459.89521
809.090909,1000,9471.110224
613.375796,1000,9482.870896
875.609756,1000,9494.447398
666.917293,1000,9505.822225
798.876404,1000,9517.372936
533.846154,1000,9529.238066
833.59375,1000,9540.522036
801.694915,1000,9552.215317
881.481481,1000,9563.602036
886.531987,1000,9575.360516
791.525424,1000,9587.304125
801.515152,1000,9598.686515
904.6,954,9609.726954
656.666667,1000,9621.363039
877.941176,1000,9632.962326
532.302405,1000,9644.640604
520.578778,1000,9656.520232
290.581717,1000,9668.442686
520.408163,1000,9679.93847
514.906832,1000,9691.598714
568.874172,1000,9703.240255
837.5,1000,9714.852473
843.060498,1000,9726.276423
263.636364,1000,9738.090816
876.470588,1000,9749.428484
401.587302,1000,9761.107295
581.388013,1000,9773.121944
