#{"t_start": 1698676261.2022698, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,18.664756
-13.0,13,18.672574
-117.0,18,18.692466
-13.0,13,18.702665
-13.0,13,18.713349
-327.0,30,18.740024
-13.0,13,18.752859
-13.0,13,18.764668
-13.0,13,18.774026
-13.0,13,18.785906
-15.0,15,18.800926
-15.0,15,18.813957
-13.0,13,18.825677
-19.0,19,18.839534
-13.0,13,18.853047
-13.0,13,18.865818
-13.0,13,18.877348
-13.0,13,18.886667
-13.0,13,18.90119
-116.0,17,18.917692
-127.0,28,18.939655
-13.0,13,18.952072
-13.0,13,18.967043
-13.0,13,18.976552
-13.0,13,18.989369
-13.0,13,19.000392
-15.0,15,19.020693
-13.0,13,19.032675
-121.0,22,19.049197
-14.0,14,19.064195
-13.0,13,19.082617
-14.0,14,19.095518
-16.0,16,19.109309
-13.0,13,19.119337
-13.0,13,19.132368
-13.0,13,19.14267
-13.0,13,19.153745
-13.0,13,19.164602
-125.0,26,19.191582
-13.0,13,19.2045
-13.0,13,19.213872
-13.0,13,19.221936
-13.0,13,19.237936
-13.0,13,19.248023
-118.0,19,19.261599
-14.0,14,19.273723
-13.0,13,19.291035
-15.0,15,19.30612
-13.0,13,19.316991
-13.0,13,19.326504
-13.0,13,19.34157
-13.0,13,19.351361
-15.0,15,19.36548
-13.0,13,19.375995
-13.0,13,19.390384
-13.0,13,19.402468
-13.0,13,19.418668
-126.0,27,19.441721
-13.0,13,19.458422
-13.0,13,19.46924
-13.0,13,19.478067
-13.0,13,19.489639
-120.0,21,19.512071
-13.0,13,19.52334
-13.0,13,19.533799
-13.0,13,19.543681
-13.0,13,19.560866
-13.0,13,19.570266
-13.0,13,19.580106
-15.0,15,19.591527
-13.0,13,19.604876
-13.0,13,19.613962
-13.0,13,19.626576
-13.0,13,19.638375
-13.0,13,19.653617
-15.0,15,19.665162
-13.0,13,19.675969
-13.0,13,19.686536
-13.0,13,19.704223
-13.0,13,19.714355
-13.0,13,19.722991
-15.0,15,19.736012
-13.0,13,19.750853
-13.0,13,19.76131
-13.0,13,19.774651
-13.0,13,19.784999
-17.0,17,19.803081
-115.0,16,19.817567
-121.0,22,19.836674
-121.0,22,19.849703
-13.0,13,19.863732
-119.0,20,19.880803
-13.0,13,19.893553
-13.0,13,19.902134
-15.0,15,19.918018
-13.0,13,19.927052
-13.0,13,19.936073
-13.0,13,19.94652
-13.0,13,19.965651
-13.0,13,19.974564
-13.0,13,19.984951
-13.0,13,19.996969
-13.0,13,20.014546
-13.0,13,20.023972
-13.0,13,20.03433
-15.0,15,20.045867
-13.0,13,20.060385
-15.0,15,20.074039
-13.0,13,20.081633
-13.0,13,20.092651
-13.0,13,20.109803
-117.0,18,20.127588
-13.0,13,20.13934
-14.0,14,20.152925
-13.0,13,20.168138
-17.0,17,20.178671
